Date,TUI,DHER,TMV
04.7.2025,7.512,22.98,9.65
03.7.2025,7.62,23.67,9.67
02.7.2025,7.646,23.77,9.435
01.7.2025,7.706,23.96,9.485
30.6.2025,7.418,22.97,9.555
27.6.2025,7.302,22.42,9.69
26.6.2025,7.144,22.23,9.58
25.6.2025,7.014,22.73,9.53
24.6.2025,7,22.55,9.72
23.6.2025,6.332,21.51,9.265
20.6.2025,6.592,21.36,9.295
19.6.2025,6.192,21.15,9.335
18.6.2025,6.412,21.94,9.575
17.6.2025,6.428,21.99,9.96
16.6.2025,6.602,22.6,10.13
13.6.2025,6.338,22.1,10.01
12.6.2025,6.56,22.55,10.28
11.6.2025,7.212,23.19,10.48
10.6.2025,7.326,23.47,10.62
09.6.2025,7.326,23.86,10.68
06.6.2025,7.2,23.7,10.55
05.6.2025,7.338,23.85,10.44
04.6.2025,7.436,23.85,10.5
03.6.2025,7.422,22.8,10.4
02.6.2025,7.478,24.79,10.33
30.5.2025,7.358,24.38,10.26
29.5.2025,7.464,25.68,10.31
28.5.2025,7.502,25.59,10.43
27.5.2025,7.348,25.77,10.73
26.5.2025,7.092,24.84,10.55
23.5.2025,6.904,24.45,10.31
22.5.2025,6.976,24.6,10.48
21.5.2025,7.016,25.83,10.57
20.5.2025,7.098,26.27,10.53
19.5.2025,6.904,26.7,10.6
16.5.2025,6.792,26.24,10.65
15.5.2025,6.806,26.69,10.79
14.5.2025,6.772,26.83,10.86
13.5.2025,7.604,26.9,11.14
12.5.2025,7.518,27.39,11.02
09.5.2025,7.21,25.92,11.04
08.5.2025,7.23,25.35,10.9
07.5.2025,7.006,24.42,11.05
06.5.2025,7.024,26.1,11.16
05.5.2025,7.012,26.06,13.37
02.5.2025,6.944,26,13.32
30.4.2025,6.746,24.79,13.47
29.4.2025,6.802,25.7,13.16
28.4.2025,6.814,26.28,12.95
25.4.2025,6.758,26.57,12.95
24.4.2025,6.622,25.15,12.74
23.4.2025,6.598,24.9,12.48
22.4.2025,6.328,23.63,12.4
17.4.2025,6.274,23.6,12.57
16.4.2025,6.302,24.28,12.56
15.4.2025,6.308,23.44,12.34
14.4.2025,6.258,23.32,11.98
11.4.2025,6.058,22.32,11.69
10.4.2025,6.144,23.04,11.7
09.4.2025,5.934,22.8,11.17
08.4.2025,6.06,23.37,11.5
07.4.2025,5.862,21.06,10.92
04.4.2025,5.862,21.72,11.6
03.4.2025,6.222,22.13,11.795
02.4.2025,6.474,22.78,12.375
01.4.2025,6.434,22.64,12.28
31.3.2025,6.31,21.97,11.95
28.3.2025,6.576,22.58,12.21
27.3.2025,7.152,23.68,12.535
26.3.2025,7.146,23.82,12.83
25.3.2025,7.396,24.3,12.58
24.3.2025,7.206,23.96,12.595
21.3.2025,7.276,24.11,12.375
20.3.2025,7.3,22.63,12.38
19.3.2025,7.4,23.96,12.875
18.3.2025,7.074,24.25,13.03
17.3.2025,6.894,23.96,12.62
14.3.2025,6.774,23.86,12.58
13.3.2025,6.656,24.28,12.415
12.3.2025,6.656,24.98,12.925
11.3.2025,6.652,26.2,12.42
10.3.2025,6.996,27.93,12.315
07.3.2025,7.214,28.84,12.505
06.3.2025,7.2,28.42,12.92
05.3.2025,7.194,28.94,12.66
04.3.2025,6.642,27.17,11.735
03.3.2025,7.114,28.63,12.195
28.2.2025,7,28.02,11.915
27.2.2025,7.14,28.32,12.19
26.2.2025,7.13,27.79,12.26
25.2.2025,6.962,26.89,12.33
24.2.2025,6.878,27.21,12.635
21.2.2025,6.576,27.49,12.685
20.2.2025,6.574,28.52,12.355
19.2.2025,6.6,29.32,12.665
18.2.2025,7.092,31.39,12.865
