Date,.GDAXI (TRDPRC_1),.FTSE (TRDPRC_1)
30.12.2024,19909.14,8121.01
27.12.2024,19984.32,8149.78
23.12.2024,19848.77,8102.72
20.12.2024,19884.75,8084.61
19.12.2024,19969.86,8105.32
18.12.2024,20242.57,8199.11
17.12.2024,20246.37,8195.2
16.12.2024,20313.81,8262.05
13.12.2024,20405.92,8300.33
12.12.2024,20426.27,8311.76
11.12.2024,20399.16,8301.62
10.12.2024,20329.16,8280.36
09.12.2024,20345.96,8352.08
06.12.2024,20384.61,8308.61
05.12.2024,20358.8,8349.38
04.12.2024,20232.14,8335.81
03.12.2024,20016.75,8359.41
02.12.2024,19933.62,8312.89
29.11.2024,19626.45,8287.3
28.11.2024,19425.73,8281.22
27.11.2024,19261.75,8274.75
26.11.2024,19295.98,8258.61
25.11.2024,19405.2,8291.68
22.11.2024,19322.59,8262.08
21.11.2024,19146.17,8149.27
20.11.2024,19004.78,8085.07
19.11.2024,19060.31,8099.02
18.11.2024,19189.19,8109.32
15.11.2024,19210.81,8063.61
14.11.2024,19263.7,8071.19
13.11.2024,19003.11,8030.33
12.11.2024,19033.64,8025.77
11.11.2024,19448.6,8125.19
08.11.2024,19215.48,8072.39
07.11.2024,19362.52,8140.74
06.11.2024,19039.31,8166.68
05.11.2024,19256.27,8172.39
04.11.2024,19147.85,8184.24
01.11.2024,19254.97,8177.15
31.10.2024,19077.54,8110.1
30.10.2024,19257.34,8159.63
29.10.2024,19478.07,8219.61
28.10.2024,19531.62,8285.62
25.10.2024,19463.59,8248.84
24.10.2024,19443,8269.38
23.10.2024,19377.62,8258.64
22.10.2024,19421.91,8306.54
21.10.2024,19461.19,8318.24
18.10.2024,19657.37,8358.25
17.10.2024,19583.39,8385.13
16.10.2024,19432.81,8329.07
15.10.2024,19486.19,8249.28
14.10.2024,19508.29,8292.66
11.10.2024,19373.83,8253.65
10.10.2024,19210.9,8237.73
09.10.2024,19254.93,8243.74
08.10.2024,19066.47,8190.61
07.10.2024,19104.1,8303.62
04.10.2024,19120.93,8280.63
03.10.2024,19015.41,8282.52
02.10.2024,19164.75,8290.86
01.10.2024,19213.14,8276.65
30.9.2024,19324.93,8236.95
27.9.2024,19473.63,8320.76
26.9.2024,19238.36,8284.91
25.9.2024,18918.5,8268.7
24.9.2024,18996.63,8282.76
23.9.2024,18846.79,8259.71
20.9.2024,18720.01,8229.99
19.9.2024,19002.38,8328.72
18.9.2024,18711.49,8253.68
17.9.2024,18726.08,8309.86
16.9.2024,18633.11,8278.44
13.9.2024,18699.4,8273.09
12.9.2024,18518.39,8240.97
11.9.2024,18330.27,8193.94
10.9.2024,18265.92,8205.98
09.9.2024,18443.56,8270.84
06.9.2024,18301.9,8181.47
05.9.2024,18576.5,8241.71
04.9.2024,18591.85,8269.6
03.9.2024,18747.11,8298.46
02.9.2024,18930.85,8363.84
30.8.2024,18906.92,8376.63
29.8.2024,18912.57,8379.64
28.8.2024,18782.29,8343.85
27.8.2024,18681.81,8345.46
26.8.2024,18617.02,8327.78
23.8.2024,18633.1,8327.78
22.8.2024,18493.39,8288
21.8.2024,18448.95,8283.43
20.8.2024,18357.52,8273.32
19.8.2024,18421.69,8356.94
16.8.2024,18322.4,8311.41
15.8.2024,18183.24,8347.35
14.8.2024,17885.6,8281.05
13.8.2024,17812.05,8235.23
12.8.2024,17726.47,8210.25
09.8.2024,17722.88,8168.1
08.8.2024,17680.4,8144.97
07.8.2024,17615.15,8166.88
06.8.2024,17354.32,8026.69
05.8.2024,17339,8008.23
02.8.2024,17661.22,8174.71
01.8.2024,18083.05,8283.36
31.7.2024,18508.65,8367.98
30.7.2024,18411.18,8274.41
29.7.2024,18320.67,8292.35
26.7.2024,18417.55,8285.71
25.7.2024,18298.72,8186.35
24.7.2024,18387.46,8153.69
23.7.2024,18557.7,8167.37
22.7.2024,18407.07,8198.78
19.7.2024,18171.93,8155.72
18.7.2024,18354.76,8204.89
17.7.2024,18437.3,8187.46
16.7.2024,18518.03,8164.9
15.7.2024,18590.89,8182.96
12.7.2024,18748.18,8252.91
11.7.2024,18534.56,8223.34
10.7.2024,18407.22,8193.51
09.7.2024,18236.19,8139.81
08.7.2024,18472.05,8193.49
05.7.2024,18475.45,8203.93
04.7.2024,18450.48,8241.26
03.7.2024,18374.53,8171.12
02.7.2024,18164.06,8121.2
01.7.2024,18290.66,8166.76
28.6.2024,18235.45,8164.12
27.6.2024,18210.55,8179.68
26.6.2024,18155.24,8225.33
25.6.2024,18177.62,8247.79
24.6.2024,18325.58,8281.55
21.6.2024,18163.52,8237.72
20.6.2024,18254.18,8272.46
19.6.2024,18067.91,8205.11
18.6.2024,18131.97,8191.29
17.6.2024,18068.21,8142.15
14.6.2024,18002.02,8146.86
13.6.2024,18265.68,8163.67
12.6.2024,18630.86,8215.48
11.6.2024,18369.94,8147.81
10.6.2024,18494.89,8228.48
07.6.2024,18557.27,8245.37
06.6.2024,18652.67,8285.34
05.6.2024,18575.94,8246.95
04.6.2024,18405.64,8232.04
03.6.2024,18608.16,8262.75
31.5.2024,18497.94,8275.38
30.5.2024,18496.79,8231.05
29.5.2024,18473.29,8183.07
28.5.2024,18677.87,8254.18
27.5.2024,18774.71,8317.59
24.5.2024,18693.37,8317.59
23.5.2024,18691.32,8339.23
22.5.2024,18680.2,8370.33
21.5.2024,18726.76,8416.45
20.5.2024,18768.96,8424.2
17.5.2024,18704.42,8420.26
16.5.2024,18738.81,8438.65
15.5.2024,18869.36,8445.8
14.5.2024,18716.42,8428.13
13.5.2024,18742.22,8414.99
10.5.2024,18772.85,8433.76
